review_url,text,star,thumbs_up,user_name,user_image,developer_reply,version,review_date,date,anomaly
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOEx0J40q_Gylhj126lTC_fvZZc3OzYzE3BsVLCeAQmRLQ5hTfnA-ANm7XoBXSSOI0ZY0o3Uyc4B4YZAKQ,Love,1,0,Karthi Karthi,https://play-lh.googleusercontent.com/a/AATXAJzfSjfIO-7X-708J1FfMFM_OCn8f9BMHNVIjAxF=mo,,,2021-12-10,2021-12-11,True
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOEGcDvAQurOZlceqHZ2zmIK7adNCIsybc1AXlAywU0haCHvfkaWBoQ6d2qEIUyUNUntLfOdE03tV-X6iw,Abdullah Armani,2,0,Abdullah Khan,https://play-lh.googleusercontent.com/a/AATXAJxAV1fBGfVPSYQS7ju1PC8KCO7g7Xw4OR8IsYME=mo,,346.0.0.29.119,2021-12-10,2021-12-11,False
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOGVNNIUQ8xiRRdQbC5AisiS1Lof3c4uMKlepBctJ2m6HeEZXIblGUSNg-NuaqrMcM2Kjmetv8UfoNvbvA,I love this app very much please download it is amazing app,5,0,Arjun Singh parihar,https://play-lh.googleusercontent.com/a/AATXAJwuv-6iRLVuDjzY_L-RE2iuMUMJC7M8cIs-aQ6B=mo,,336.0.0.20.117,2021-12-10,2021-12-11,False
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOGKUGHZTHBiOVUATqQLeS7Lqftn81VakH7JdZ4pAYjyirO_O4deVmWkH8oEvgR3JE3M0PWolwrDLEztqw,VERYVGOOD❤️,5,0,Dipika Malik,https://play-lh.googleusercontent.com/a/AATXAJy5xVSmFPk3ZL_lAiTkLddAlSLowC7yAI1RStPC=mo,,345.0.0.34.118,2021-12-10,2021-12-11,False
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOFjeAvUJEx3nDnFImogufrgGGINn0s0AHglLNNpdgEmrTLFY9qAZquDsuILl6eIZxcCi74HoEV377VnKQ,Just tap the star and you select ur langues and type ur message trying it see if It l ok ke it. Ok!,5,0,Carol Jones,https://play-lh.googleusercontent.com/a/AATXAJzgqseLll9gYLgbPv1dpSSJ9KieB5H0WmVHAy8J=mo,,,2021-12-10,2021-12-11,False
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOGKlgp_cILRaN4b7ztj9liaQc0W82PiEZb_11S_8H3JOeoMTprsGq49orc-SellebOur8dQV6iy6bL0Ww,Nice app,4,0,Som Some,https://play-lh.googleusercontent.com/a-/AOh14GjcUmf5eCgXDxE9VYHKYIjIe3FeLeIigIKVdMTf,,345.0.0.34.118,2021-12-10,2021-12-11,False
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOF0LoSu67G1K4f6UKCna689Vrf68kP8yuQnx_FJ77EGiIrtCsKkvp9hTLJ_Km6HQVo_MUpAadr84YpYWw,So.baree.nice.aap,5,0,Vishesh Gupta,https://play-lh.googleusercontent.com/a-/AOh14GhdTI3g2v9HnepVkWbPpdX2NAORTn0UdgE8r6Qc,,345.0.0.34.118,2021-12-10,2021-12-11,False
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOGtAt5GlE54HgSp9gX4A5vdFX1cj7hNX06jay-NOzi1E9L4ANasbXXYCV7QIbn_Kilq4iZNAuch35t1sg,Hk,5,0,Neeraj Kumar,https://play-lh.googleusercontent.com/a/AATXAJyfcBD8bYwnxBb3zMhTDXNk7wgnTJBNvAQpsyk9=mo,,347.0.0.28.237,2021-12-10,2021-12-11,False
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOE7ghM_Tn7qlaafvfOkwOfrRrkitTzzcJ06J1eVlYg-3MVSJdImdE05bGD4Ko5vq-pq1wOOJWmkxJuLfg,Ik that all my info is gonna get put into some gigaserver so when fb takes over the planet I'm going to get molested by some nex ais or whatever but can't 2.4 billion dollar company make a normal functioning app like actually everytime I try go onto messenger to chat it tells me to upload a pic and I try select a file and it just sends me back to the screen I've tried reinstalling the app 3 times and restarting my phone but nothing seems to work allow fix this fb.,1,0,Adam Palacz,https://play-lh.googleusercontent.com/a/AATXAJzedXjd4PUpPWx2bmupE0ZfP5u3ku48rKZeEVcv=mo,,347.0.0.28.237,2021-12-10,2021-12-11,False
https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=gp:AOqpTOGsPbWXB7bEgBPgvkoiapz980ldFeWTbxZmY5gYgCVGCq3ER0F-EvRK-AFIigc5B8k8-XNLg9dux_x3ww,vary good,5,0,khiboy garcia,https://play-lh.googleusercontent.com/a/AATXAJyPSd5zxOokTNPxzLW47NIei2u47-7Kww1RBRDd=mo,,346.0.0.29.119,2021-12-10,2021-12-11,False
